run,arm,width,height,sample,Timestamp,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHIThreadTime,GameThreadWaitTime,PawnCount,IgnoredForSummary
hwrt-off-1080-2-v4,v4,1920,1080,6,2026-09-07T22:13:57.570Z,11.022500,9.141900,6.005000,11.022500,4.917700,5.757800,1,0
hwrt-off-1080-2-v4,v4,1920,1080,7,2026-09-07T22:13:58.574Z,10.818500,9.115300,6.176800,10.818500,4.955500,6.182700,1,0
hwrt-off-1080-2-v4,v4,1920,1080,8,2026-09-07T22:13:59.570Z,11.824600,9.165700,11.824600,10.713200,5.377100,5.947100,1,0
hwrt-off-1080-2-v4,v4,1920,1080,9,2026-09-07T22:14:00.576Z,10.649600,9.234200,5.760700,10.649600,4.976100,5.791600,1,0
hwrt-off-1080-2-v4,v4,1920,1080,10,2026-09-07T22:14:01.573Z,10.708400,9.174900,5.950400,10.708400,5.055100,6.096100,1,0
hwrt-off-1080-2-v4,v4,1920,1080,11,2026-09-07T22:14:02.577Z,10.524300,9.149900,5.614700,10.524300,5.053700,5.695300,1,0
hwrt-off-1080-2-v4,v4,1920,1080,12,2026-09-07T22:14:03.572Z,10.927300,9.147400,5.418600,10.927300,4.981900,5.864700,1,0
hwrt-off-1080-2-v4,v4,1920,1080,13,2026-09-07T22:14:04.574Z,11.222800,9.172500,6.087900,11.222800,5.018700,5.701000,1,0
hwrt-off-1080-2-v4,v4,1920,1080,14,2026-09-07T22:14:05.578Z,10.846100,9.151000,6.830000,10.846100,4.909500,5.822300,1,0
hwrt-off-1080-2-v4,v4,1920,1080,15,2026-09-07T22:14:06.576Z,10.665200,9.134300,5.812500,10.665200,4.922600,6.113500,1,0
hwrt-off-1080-2-v4,v4,1920,1080,16,2026-09-07T22:14:07.570Z,10.632200,9.153100,5.949400,10.632200,4.995700,5.684000,1,0
hwrt-off-1080-2-v4,v4,1920,1080,17,2026-09-07T22:14:08.574Z,10.925200,9.147300,5.752000,10.925200,5.297100,6.075900,1,0
