run,driver,sequence,start_ticks,end_ticks,frequency,gpu_ms,gpu_completion_fence_verified
01,installed-2.84,1943,15941013112881,15941013696929,100000000,5.84048,True
01,installed-2.84,1944,15941018189509,15941018772565,100000000,5.83056,True
01,installed-2.84,1945,15941023272753,15941023858545,100000000,5.85792,True
01,installed-2.84,1946,15941028358041,15941028941517,100000000,5.83476,True
01,installed-2.84,1947,15941033431993,15941034017857,100000000,5.85864,True
01,installed-2.84,1948,15941038499813,15941039084333,100000000,5.8452,True
01,installed-2.84,1949,15941043558609,15941044143001,100000000,5.84392,True
01,installed-2.84,1950,15941048637897,15941049221817,100000000,5.8392,True
01,installed-2.84,1951,15941053717401,15941054303189,100000000,5.85788,True
01,installed-2.84,1952,15941058809421,15941059395293,100000000,5.85872,True
01,installed-2.84,1953,15941063899205,15941064483513,100000000,5.84308,True
01,installed-2.84,1954,15941068971429,15941069554301,100000000,5.82872,True
01,installed-2.84,1955,15941074043857,15941074627481,100000000,5.83624,True
01,installed-2.84,1956,15941079102597,15941079688245,100000000,5.85648,True
01,installed-2.84,1957,15941084188993,15941084772285,100000000,5.83292,True
01,installed-2.84,1958,15941089329057,15941089912741,100000000,5.83684,True
01,installed-2.84,1959,15941094430881,15941095016469,100000000,5.85588,True
01,installed-2.84,1960,15941099528421,15941100112593,100000000,5.84172,True
01,installed-2.84,1961,15941104613105,15941105198289,100000000,5.85184,True
01,installed-2.84,1962,15941109692253,15941110276449,100000000,5.84196,True
01,installed-2.84,1963,15941114771005,15941115355613,100000000,5.84608,True
01,installed-2.84,1964,15941119855349,15941120438981,100000000,5.83632,True
01,installed-2.84,1965,15941124956077,15941125539853,100000000,5.83776,True
01,installed-2.84,1966,15941130027053,15941130611117,100000000,5.84064,True
01,installed-2.84,1967,15941135108505,15941135692349,100000000,5.83844,True
01,installed-2.84,1968,15941140185081,15941140771229,100000000,5.86148,True
01,installed-2.84,1969,15941145274265,15941145857313,100000000,5.83048,True
01,installed-2.84,1970,15941150341845,15941150927437,100000000,5.85592,True
01,installed-2.84,1971,15941155437909,15941156022641,100000000,5.84732,True
