run,variant,resolution,frame,gpu_ms
measure-1080p-r1-p1-fsr411,fsr411,1080p,79,7.145720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,80,7.142200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,81,7.128400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,82,7.116840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,83,7.118040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,84,7.143640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,85,7.229760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,86,7.177880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,87,7.145920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,88,7.135360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,89,7.155560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,90,7.132040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,91,7.124560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,92,7.198320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,93,7.165440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,94,6.664440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,95,6.771840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,96,7.145240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,97,7.139080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,98,7.122040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,99,7.134240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,100,7.164960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,101,7.154280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,102,7.071360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,103,7.139600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,104,7.120400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,105,7.128800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,106,7.151400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,107,7.143840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,108,7.167720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,109,7.190880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,110,7.185520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,111,6.662800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,112,6.759920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,113,7.165880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,114,7.142560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,115,7.137200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,116,7.120000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,117,7.106400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,118,7.147560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,119,7.060920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,120,7.125360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,121,7.109920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,122,7.133040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,123,7.136960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,124,7.134600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,125,7.148880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,126,7.160360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,127,6.654120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,128,6.666920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,129,7.012680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,130,7.163200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,131,7.138920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,132,7.137880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,133,7.113240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,134,7.140720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,135,7.126320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,136,7.135280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,137,7.120720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,138,7.157720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,139,7.130960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,140,7.179120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,141,7.162920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,142,6.668320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,143,6.666600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,144,7.154200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,145,7.147800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,146,7.147080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,147,7.124160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,148,7.120480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,149,7.117320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,150,7.113720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,151,7.080560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,152,7.156000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,153,7.167640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,154,7.134560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,155,7.156800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,156,7.124880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,157,7.160200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,158,7.191920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,159,6.659480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,160,6.851600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,161,7.141280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,162,7.130960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,163,7.132720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,164,7.148400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,165,7.128040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,166,7.185040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,167,7.130280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,168,7.116280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,169,7.143480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,170,7.132160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,171,7.165400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,172,7.181160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,173,6.666040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,174,6.657520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,175,7.154480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,176,7.148240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,177,7.149560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,178,7.129080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,179,7.107600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,180,7.133640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,181,7.181960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,182,7.070280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,183,7.155880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,184,7.101840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,185,7.154200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,186,7.147280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,187,7.152520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,188,7.159200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,189,6.657200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,190,6.733000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,191,7.141800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,192,7.158560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,193,7.123760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,194,7.080520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,195,7.129840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,196,7.137000000
measure-1080p-r1-p1-fsr411,fsr411,1080p,197,7.123400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,198,7.171840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,199,7.143640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,200,7.154960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,201,7.171880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,202,7.166840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,203,6.652440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,204,6.659640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,205,7.159080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,206,7.154560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,207,7.159480000
measure-1080p-r1-p1-fsr411,fsr411,1080p,208,7.128040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,209,7.127880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,210,7.121120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,211,7.095040000
measure-1080p-r1-p1-fsr411,fsr411,1080p,212,7.123600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,213,7.112240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,214,7.160840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,215,7.133080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,216,7.144920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,217,7.156720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,218,6.655840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,219,6.872920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,220,7.153080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,221,7.154200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,222,7.123600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,223,7.099680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,224,7.144600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,225,7.052240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,226,7.122440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,227,7.117680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,228,7.162640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,229,7.134160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,230,7.125600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,231,7.234120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,232,7.171280000
measure-1080p-r1-p1-fsr411,fsr411,1080p,233,6.654200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,234,6.837200000
measure-1080p-r1-p1-fsr411,fsr411,1080p,235,7.134560000
measure-1080p-r1-p1-fsr411,fsr411,1080p,236,7.122920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,237,7.122520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,238,7.099240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,239,7.147920000
measure-1080p-r1-p1-fsr411,fsr411,1080p,240,7.101120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,241,7.118960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,242,7.106440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,243,7.109680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,244,7.155520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,245,7.126880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,246,7.210440000
measure-1080p-r1-p1-fsr411,fsr411,1080p,247,7.215720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,248,6.657680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,249,6.648160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,250,7.148960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,251,7.143160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,252,7.128920000
